PRODUCT NAME,PRODUCT PRICE,Quantity
Male Plug,20,5
Omni Male Plug,35,3
Surer Adaptor,35,4
Rubber Plug,40,1
Rubber Plug,50,1
Push Button Switch,40,1
Omni Switch,60,1
Fuse 30A,60,1
Fuse 60A,150,1
Surer Receptacle (White),40,2
Pull Socket Switch Omni,90,3
Rubber Socket ,45,4
Surer Receptacle (Black),40,5
Two-Gang Universal Outlet,85,6
Two-Gang Outlet,78,7
Omni Two Gang Outlet,85,2
Omni Three Gang Outlet,110,1
Surer Three Gang Outlet,85,3
Omni Adaptor,90,4
Omni Four Gang Outlet,120,2
Surer 4-Gang outlet,100,3
Surer Adaptor,75,1
15A Plug,60,2
Air Chuck,130,3
Air Cock Brass,130,2
